Episode: 92, K_Matrix: tensor([[0.0019]], device='cuda:0') 
Episode: 93, K_Matrix: tensor([[0.0020]], device='cuda:0') 
Episode: 94, K_Matrix: tensor([[0.0020]], device='cuda:0') 
Episode: 95, K_Matrix: tensor([[0.0021]], device='cuda:0') 
Episode: 96, K_Matrix: tensor([[0.0021]], device='cuda:0') 
Episode: 97, K_Matrix: tensor([[0.0022]], device='cuda:0') 
Episode: 98, K_Matrix: tensor([[0.0022]], device='cuda:0') 
Episode: 99, K_Matrix: tensor([[0.0022]], device='cuda:0') 
Episode: 100, K_Matrix: tensor([[0.0022]], device='cuda:0') 
Episode: 101, K_Matrix: tensor([[0.0023]], device='cuda:0') 
Episode: 102, K_Matrix: tensor([[0.0024]], device='cuda:0') 
Episode: 103, K_Matrix: tensor([[0.0024]], device='cuda:0') 
Episode: 104, K_Matrix: tensor([[0.0025]], device='cuda:0') 
Episode: 105, K_Matrix: tensor([[0.0025]], device='cuda:0') 
Episode: 106, K_Matrix: tensor([[0.0025]], device='cuda:0') 
Episode: 107, K_Matrix: tensor([[0.0026]], device='cuda:0') 
Episode: 108, K_Matrix: tensor([[0.0027]], device='cuda:0') 
Episode: 109, K_Matrix: tensor([[0.0028]], device='cuda:0') 
Episode: 110, K_Matrix: tensor([[0.0028]], device='cuda:0') 
Episode: 111, K_Matrix: tensor([[0.0028]], device='cuda:0') 
Episode: 112, K_Matrix: tensor([[0.0029]], device='cuda:0') 
Episode: 113, K_Matrix: tensor([[0.0030]], device='cuda:0') 
Episode: 114, K_Matrix: tensor([[0.0030]], device='cuda:0') 
Episode: 115, K_Matrix: tensor([[0.0030]], device='cuda:0') 
Episode: 116, K_Matrix: tensor([[0.0030]], device='cuda:0') 
Episode: 117, K_Matrix: tensor([[0.0030]], device='cuda:0') 
Episode: 118, K_Matrix: tensor([[0.0029]], device='cuda:0') 
Episode: 119, K_Matrix: tensor([[0.0028]], device='cuda:0') 
Episode: 120, K_Matrix: tensor([[0.0027]], device='cuda:0') 
Episode: 121, K_Matrix: tensor([[0.0026]], device='cuda:0') 
Episode: 122, K_Matrix: tensor([[0.0024]], device='cuda:0') 
Episode: 123, K_Matrix: tensor([[0.0023]], device='cuda:0') 
Episode: 124, K_Matrix: tensor([[0.0022]], device='cuda:0') 
Episode: 125, K_Matrix: tensor([[0.0020]], device='cuda:0') 
Episode: 126, K_Matrix: tensor([[0.0019]], device='cuda:0') 
Episode: 127, K_Matrix: tensor([[0.0018]], device='cuda:0') 
Episode: 128, K_Matrix: tensor([[0.0018]], device='cuda:0') 
Episode: 129, K_Matrix: tensor([[0.0018]], device='cuda:0') 
Episode: 130, K_Matrix: tensor([[0.0017]], device='cuda:0') 
Episode: 131, K_Matrix: tensor([[0.0017]], device='cuda:0') 
Episode: 132, K_Matrix: tensor([[0.0017]], device='cuda:0') 
Episode: 133, K_Matrix: tensor([[0.0017]], device='cuda:0') 
Episode: 134, K_Matrix: tensor([[0.0017]], device='cuda:0') 
Episode: 135, K_Matrix: tensor([[0.0017]], device='cuda:0') 
Episode: 136, K_Matrix: tensor([[0.0017]], device='cuda:0') 
Episode: 137, K_Matrix: tensor([[0.0017]], device='cuda:0') 
Episode: 138, K_Matrix: tensor([[0.0017]], device='cuda:0') 
Episode: 139, K_Matrix: tensor([[0.0018]], device='cuda:0') 
Episode: 140, K_Matrix: tensor([[0.0018]], device='cuda:0') 
Episode: 141, K_Matrix: tensor([[0.0019]], device='cuda:0') 
Episode: 142, K_Matrix: tensor([[0.0020]], device='cuda:0') 
Episode: 143, K_Matrix: tensor([[0.0021]], device='cuda:0') 
Episode: 144, K_Matrix: tensor([[0.0022]], device='cuda:0') 
Episode: 145, K_Matrix: tensor([[0.0023]], device='cuda:0') 
Episode: 146, K_Matrix: tensor([[0.0024]], device='cuda:0') 
Episode: 147, K_Matrix: tensor([[0.0024]], device='cuda:0') 
Episode: 148, K_Matrix: tensor([[0.0024]], device='cuda:0') 
Episode: 149, K_Matrix: tensor([[0.0024]], device='cuda:0') 
Episode: 150, K_Matrix: tensor([[0.0024]], device='cuda:0') 
Episode: 151, K_Matrix: tensor([[0.0024]], device='cuda:0') 
Episode: 152, K_Matrix: tensor([[0.0024]], device='cuda:0') 
Episode: 153, K_Matrix: tensor([[0.0023]], device='cuda:0') 
Episode: 154, K_Matrix: tensor([[0.0023]], device='cuda:0') 
Episode: 155, K_Matrix: tensor([[0.0022]], device='cuda:0') 
Episode: 156, K_Matrix: tensor([[0.0022]], device='cuda:0') 
Episode: 157, K_Matrix: tensor([[0.0022]], device='cuda:0') 
Episode: 158, K_Matrix: tensor([[0.0022]], device='cuda:0') 
Episode: 159, K_Matrix: tensor([[0.0022]], device='cuda:0') 
Episode: 160, K_Matrix: tensor([[0.0022]], device='cuda:0') 
Episode: 161, K_Matrix: tensor([[0.0022]], device='cuda:0') 
Episode: 162, K_Matrix: tensor([[0.0021]], device='cuda:0') 
Episode: 163, K_Matrix: tensor([[0.0020]], device='cuda:0') 
Episode: 164, K_Matrix: tensor([[0.0020]], device='cuda:0') 
Episode: 165, K_Matrix: tensor([[0.0019]], device='cuda:0') 
Episode: 166, K_Matrix: tensor([[0.0019]], device='cuda:0') 
Episode: 167, K_Matrix: tensor([[0.0019]], device='cuda:0') 
Episode: 168, K_Matrix: tensor([[0.0018]], device='cuda:0') 
Episode: 169, K_Matrix: tensor([[0.0018]], device='cuda:0') 
Episode: 170, K_Matrix: tensor([[0.0018]], device='cuda:0') 
Episode: 171, K_Matrix: tensor([[0.0019]], device='cuda:0') 
Episode: 172, K_Matrix: tensor([[0.0019]], device='cuda:0') 
Episode: 173, K_Matrix: tensor([[0.0020]], device='cuda:0') 
Episode: 174, K_Matrix: tensor([[0.0019]], device='cuda:0') 
Episode: 175, K_Matrix: tensor([[0.0018]], device='cuda:0') 
Episode: 176, K_Matrix: tensor([[0.0017]], device='cuda:0') 
Episode: 177, K_Matrix: tensor([[0.0017]], device='cuda:0') 
Episode: 178, K_Matrix: tensor([[0.0016]], device='cuda:0') 
Episode: 179, K_Matrix: tensor([[0.0015]], device='cuda:0') 
Episode: 180, K_Matrix: tensor([[0.0015]], device='cuda:0') 
Episode: 181, K_Matrix: tensor([[0.0016]], device='cuda:0') 
Episode: 182, K_Matrix: tensor([[0.0016]], device='cuda:0') 
Episode: 183, K_Matrix: tensor([[0.0016]], device='cuda:0') 
Episode: 184, K_Matrix: tensor([[0.0016]], device='cuda:0') 
Episode: 185, K_Matrix: tensor([[0.0016]], device='cuda:0') 
Episode: 186, K_Matrix: tensor([[0.0016]], device='cuda:0') 
Episode: 187, K_Matrix: tensor([[0.0016]], device='cuda:0') 
Episode: 188, K_Matrix: tensor([[0.0016]], device='cuda:0') 
Episode: 189, K_Matrix: tensor([[0.0017]], device='cuda:0') 
Episode: 190, K_Matrix: tensor([[0.0017]], device='cuda:0') 
Episode: 191, K_Matrix: tensor([[0.0017]], device='cuda:0') 
Episode: 192, K_Matrix: tensor([[0.0017]], device='cuda:0') 
Episode: 193, K_Matrix: tensor([[0.0017]], device='cuda:0') 
Episode: 194, K_Matrix: tensor([[0.0017]], device='cuda:0') 
Episode: 195, K_Matrix: tensor([[0.0017]], device='cuda:0') 
Episode: 196, K_Matrix: tensor([[0.0018]], device='cuda:0') 
Episode: 197, K_Matrix: tensor([[0.0018]], device='cuda:0') 
Episode: 198, K_Matrix: tensor([[0.0018]], device='cuda:0') 
Episode: 199, K_Matrix: tensor([[0.0019]], device='cuda:0') 
Episode: 200, K_Matrix: tensor([[0.0020]], device='cuda:0') 
