Train Episode: 45	Loss: 0.996191	Accuracy: 0.640	MetaParam_1: 0.016874	MetaParam_2: -0.022778	MetaParam_3: 0.006190
Train Episode: 46	Loss: 0.788984	Accuracy: 0.660	MetaParam_1: 0.016856	MetaParam_2: -0.023170	MetaParam_3: 0.006088
Train Episode: 47	Loss: 1.585865	Accuracy: 0.440	MetaParam_1: 0.016833	MetaParam_2: -0.023527	MetaParam_3: 0.006015
Train Episode: 48	Loss: 0.584659	Accuracy: 0.800	MetaParam_1: 0.016793	MetaParam_2: -0.023889	MetaParam_3: 0.005974
Train Episode: 49	Loss: 0.415887	Accuracy: 0.840	MetaParam_1: 0.016759	MetaParam_2: -0.024263	MetaParam_3: 0.005928
Train Episode: 50	Loss: 0.775325	Accuracy: 0.700	MetaParam_1: 0.016746	MetaParam_2: -0.024643	MetaParam_3: 0.005919
Train Episode: 51	Loss: 0.775102	Accuracy: 0.740	MetaParam_1: 0.016727	MetaParam_2: -0.024954	MetaParam_3: 0.005922
Train Episode: 52	Loss: 0.782467	Accuracy: 0.660	MetaParam_1: 0.016853	MetaParam_2: -0.025318	MetaParam_3: 0.005935
Train Episode: 53	Loss: 0.872888	Accuracy: 0.660	MetaParam_1: 0.016988	MetaParam_2: -0.025742	MetaParam_3: 0.005958
Train Episode: 54	Loss: 0.417931	Accuracy: 0.860	MetaParam_1: 0.017114	MetaParam_2: -0.026136	MetaParam_3: 0.005940
Train Episode: 55	Loss: 0.746352	Accuracy: 0.700	MetaParam_1: 0.017209	MetaParam_2: -0.026520	MetaParam_3: 0.005895
Train Episode: 56	Loss: 0.818870	Accuracy: 0.640	MetaParam_1: 0.017310	MetaParam_2: -0.026908	MetaParam_3: 0.005885
Train Episode: 57	Loss: 0.576152	Accuracy: 0.800	MetaParam_1: 0.017382	MetaParam_2: -0.027310	MetaParam_3: 0.005960
Train Episode: 58	Loss: 0.917995	Accuracy: 0.560	MetaParam_1: 0.017442	MetaParam_2: -0.027695	MetaParam_3: 0.006047
Train Episode: 59	Loss: 0.926552	Accuracy: 0.620	MetaParam_1: 0.017461	MetaParam_2: -0.027927	MetaParam_3: 0.006126
Train Episode: 60	Loss: 1.227226	Accuracy: 0.540	MetaParam_1: 0.017474	MetaParam_2: -0.028183	MetaParam_3: 0.006194
Train Episode: 61	Loss: 1.880391	Accuracy: 0.380	MetaParam_1: 0.017281	MetaParam_2: -0.028248	MetaParam_3: 0.006207
Train Episode: 62	Loss: 1.133085	Accuracy: 0.640	MetaParam_1: 0.016980	MetaParam_2: -0.028316	MetaParam_3: 0.006109
Train Episode: 63	Loss: 0.665969	Accuracy: 0.720	MetaParam_1: 0.016733	MetaParam_2: -0.028373	MetaParam_3: 0.005958
Train Episode: 64	Loss: 0.864778	Accuracy: 0.660	MetaParam_1: 0.016516	MetaParam_2: -0.028546	MetaParam_3: 0.005772
Train Episode: 65	Loss: 1.073208	Accuracy: 0.620	MetaParam_1: 0.016331	MetaParam_2: -0.028709	MetaParam_3: 0.005597
Train Episode: 66	Loss: 0.820920	Accuracy: 0.580	MetaParam_1: 0.016085	MetaParam_2: -0.028789	MetaParam_3: 0.005486
Train Episode: 67	Loss: 0.694237	Accuracy: 0.760	MetaParam_1: 0.015771	MetaParam_2: -0.028720	MetaParam_3: 0.005418
Train Episode: 68	Loss: 0.930202	Accuracy: 0.640	MetaParam_1: 0.015478	MetaParam_2: -0.028743	MetaParam_3: 0.005381
Train Episode: 69	Loss: 1.215265	Accuracy: 0.560	MetaParam_1: 0.015222	MetaParam_2: -0.028773	MetaParam_3: 0.005403
Train Episode: 70	Loss: 0.399880	Accuracy: 0.860	MetaParam_1: 0.014881	MetaParam_2: -0.028711	MetaParam_3: 0.005471
Train Episode: 71	Loss: 0.499236	Accuracy: 0.800	MetaParam_1: 0.014585	MetaParam_2: -0.028670	MetaParam_3: 0.005528
Train Episode: 72	Loss: 0.857258	Accuracy: 0.600	MetaParam_1: 0.014324	MetaParam_2: -0.028658	MetaParam_3: 0.005569
Train Episode: 73	Loss: 0.848624	Accuracy: 0.640	MetaParam_1: 0.014074	MetaParam_2: -0.028684	MetaParam_3: 0.005601
Train Episode: 74	Loss: 0.488350	Accuracy: 0.840	MetaParam_1: 0.013879	MetaParam_2: -0.028749	MetaParam_3: 0.005628
Train Episode: 75	Loss: 0.825265	Accuracy: 0.640	MetaParam_1: 0.013730	MetaParam_2: -0.028878	MetaParam_3: 0.005653
Train Episode: 76	Loss: 0.680279	Accuracy: 0.680	MetaParam_1: 0.013580	MetaParam_2: -0.029052	MetaParam_3: 0.005757
Train Episode: 77	Loss: 0.482899	Accuracy: 0.800	MetaParam_1: 0.013457	MetaParam_2: -0.029312	MetaParam_3: 0.005887
Train Episode: 78	Loss: 0.699925	Accuracy: 0.760	MetaParam_1: 0.013372	MetaParam_2: -0.029572	MetaParam_3: 0.005974
Train Episode: 79	Loss: 0.891453	Accuracy: 0.640	MetaParam_1: 0.013271	MetaParam_2: -0.029858	MetaParam_3: 0.006054
Train Episode: 80	Loss: 0.927686	Accuracy: 0.640	MetaParam_1: 0.013214	MetaParam_2: -0.030130	MetaParam_3: 0.006117
Train Episode: 81	Loss: 0.520889	Accuracy: 0.880	MetaParam_1: 0.013173	MetaParam_2: -0.030360	MetaParam_3: 0.006107
Train Episode: 82	Loss: 0.633905	Accuracy: 0.860	MetaParam_1: 0.013157	MetaParam_2: -0.030650	MetaParam_3: 0.006035
Train Episode: 83	Loss: 0.714630	Accuracy: 0.800	MetaParam_1: 0.013172	MetaParam_2: -0.030994	MetaParam_3: 0.005998
Train Episode: 84	Loss: 0.475179	Accuracy: 0.840	MetaParam_1: 0.013140	MetaParam_2: -0.031256	MetaParam_3: 0.005950
Train Episode: 85	Loss: 0.475147	Accuracy: 0.880	MetaParam_1: 0.013145	MetaParam_2: -0.031535	MetaParam_3: 0.005914
Train Episode: 86	Loss: 0.603340	Accuracy: 0.780	MetaParam_1: 0.013185	MetaParam_2: -0.031873	MetaParam_3: 0.005919
Train Episode: 87	Loss: 1.027709	Accuracy: 0.620	MetaParam_1: 0.013250	MetaParam_2: -0.032187	MetaParam_3: 0.005939
Train Episode: 88	Loss: 0.700910	Accuracy: 0.720	MetaParam_1: 0.013324	MetaParam_2: -0.032529	MetaParam_3: 0.005825
Train Episode: 89	Loss: 0.924352	Accuracy: 0.780	MetaParam_1: 0.013381	MetaParam_2: -0.032858	MetaParam_3: 0.005736
Train Episode: 90	Loss: 0.848616	Accuracy: 0.700	MetaParam_1: 0.013416	MetaParam_2: -0.033164	MetaParam_3: 0.005691
Train Episode: 91	Loss: 0.661367	Accuracy: 0.740	MetaParam_1: 0.013457	MetaParam_2: -0.033520	MetaParam_3: 0.005640
Train Episode: 92	Loss: 0.807410	Accuracy: 0.720	MetaParam_1: 0.013475	MetaParam_2: -0.033856	MetaParam_3: 0.005614
Train Episode: 93	Loss: 1.034780	Accuracy: 0.660	MetaParam_1: 0.013482	MetaParam_2: -0.034113	MetaParam_3: 0.005597
Train Episode: 94	Loss: 0.820326	Accuracy: 0.740	MetaParam_1: 0.013431	MetaParam_2: -0.034218	MetaParam_3: 0.005530
Train Episode: 95	Loss: 0.618114	Accuracy: 0.760	MetaParam_1: 0.013383	MetaParam_2: -0.034342	MetaParam_3: 0.005431
Train Episode: 96	Loss: 0.274650	Accuracy: 0.900	MetaParam_1: 0.013332	MetaParam_2: -0.034494	MetaParam_3: 0.005360
Train Episode: 97	Loss: 0.975400	Accuracy: 0.640	MetaParam_1: 0.013274	MetaParam_2: -0.034700	MetaParam_3: 0.005289
Train Episode: 98	Loss: 0.964228	Accuracy: 0.620	MetaParam_1: 0.013201	MetaParam_2: -0.034925	MetaParam_3: 0.005171
Train Episode: 99	Loss: 0.548415	Accuracy: 0.880	MetaParam_1: 0.013164	MetaParam_2: -0.035129	MetaParam_3: 0.005051
Train Episode: 100	Loss: 0.595921	Accuracy: 0.760	MetaParam_1: 0.013153	MetaParam_2: -0.035440	MetaParam_3: 0.004943
