Train Episode: 1	Loss: 0.773893	Accuracy: 0.680	 Current training data: 450
Train Episode: 2	Loss: 0.708459	Accuracy: 0.745	 Current training data: 450
Train Episode: 3	Loss: 0.742823	Accuracy: 0.705	 Current training data: 450
Train Episode: 4	Loss: 0.645408	Accuracy: 0.725	 Current training data: 450
Train Episode: 5	Loss: 0.749307	Accuracy: 0.720	 Current training data: 450
Train Episode: 6	Loss: 1.049990	Accuracy: 0.615	 Current training data: 450
Train Episode: 7	Loss: 0.774946	Accuracy: 0.755	 Current training data: 450
Train Episode: 8	Loss: 0.644570	Accuracy: 0.750	 Current training data: 450
Train Episode: 9	Loss: 0.757985	Accuracy: 0.730	 Current training data: 450
Train Episode: 10	Loss: 0.638336	Accuracy: 0.750	 Current training data: 450
Train Episode: 11	Loss: 0.881680	Accuracy: 0.740	 Current training data: 450
Train Episode: 12	Loss: 0.667551	Accuracy: 0.760	 Current training data: 450
Train Episode: 13	Loss: 0.650659	Accuracy: 0.745	 Current training data: 450
Train Episode: 14	Loss: 0.686180	Accuracy: 0.710	 Current training data: 450
Train Episode: 15	Loss: 0.733911	Accuracy: 0.720	 Current training data: 450
Train Episode: 16	Loss: 0.575661	Accuracy: 0.825	 Current training data: 450
Train Episode: 17	Loss: 0.692539	Accuracy: 0.730	 Current training data: 450
Train Episode: 18	Loss: 0.876463	Accuracy: 0.690	 Current training data: 450
Train Episode: 19	Loss: 0.806544	Accuracy: 0.700	 Current training data: 450
Train Episode: 20	Loss: 0.673913	Accuracy: 0.720	 Current training data: 450
