Train Episode: 1	Loss: 3.620759	Accuracy: 0.360	MetaParam_1: 0.001000	MetaParam_2: 0.000000	MetaParam_3: 0.000000	MetaParam_4: 0.000000	MetaParam_5: 0.000000
Train Episode: 2	Loss: 1.494870	Accuracy: 0.500	MetaParam_1: 0.002000	MetaParam_2: -0.001000	MetaParam_3: 0.001000	MetaParam_4: 0.000000	MetaParam_5: 0.000000
Train Episode: 3	Loss: 1.284439	Accuracy: 0.580	MetaParam_1: 0.002898	MetaParam_2: -0.001995	MetaParam_3: 0.001725	MetaParam_4: 0.000000	MetaParam_5: 0.000000
Train Episode: 4	Loss: 0.826477	Accuracy: 0.760	MetaParam_1: 0.003712	MetaParam_2: -0.002988	MetaParam_3: 0.002314	MetaParam_4: 0.000000	MetaParam_5: 0.000000
Train Episode: 5	Loss: 0.814564	Accuracy: 0.800	MetaParam_1: 0.004489	MetaParam_2: -0.003988	MetaParam_3: 0.002810	MetaParam_4: 0.000000	MetaParam_5: 0.000000
Train Episode: 6	Loss: 0.591979	Accuracy: 0.840	MetaParam_1: 0.005234	MetaParam_2: -0.004993	MetaParam_3: 0.003233	MetaParam_4: 0.000000	MetaParam_5: 0.000000
Train Episode: 7	Loss: 0.662713	Accuracy: 0.800	MetaParam_1: 0.005915	MetaParam_2: -0.005980	MetaParam_3: 0.003599	MetaParam_4: 0.000000	MetaParam_5: 0.000000
Train Episode: 8	Loss: 0.612801	Accuracy: 0.760	MetaParam_1: 0.006531	MetaParam_2: -0.006885	MetaParam_3: 0.003918	MetaParam_4: 0.000000	MetaParam_5: 0.000000
Train Episode: 9	Loss: 0.585486	Accuracy: 0.780	MetaParam_1: 0.007070	MetaParam_2: -0.007749	MetaParam_3: 0.004199	MetaParam_4: 0.000000	MetaParam_5: 0.000000
Train Episode: 10	Loss: 1.096571	Accuracy: 0.600	MetaParam_1: 0.007555	MetaParam_2: -0.008598	MetaParam_3: 0.004448	MetaParam_4: 0.000000	MetaParam_5: 0.000000
Train Episode: 11	Loss: 0.767267	Accuracy: 0.620	MetaParam_1: 0.007962	MetaParam_2: -0.009412	MetaParam_3: 0.004675	MetaParam_4: 0.000000	MetaParam_5: 0.000000
