Runner Episode: 1	Loss: 1.464396	Accuracy: 0.480 	 Current Training Data Per Class: 5
Runner Episode: 2	Loss: 2.320389	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 3	Loss: 2.170622	Accuracy: 0.210 	 Current Training Data Per Class: 5
Runner Episode: 4	Loss: 2.540252	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 5	Loss: 1.958418	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 6	Loss: 2.488018	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 7	Loss: 2.538895	Accuracy: 0.210 	 Current Training Data Per Class: 5
Runner Episode: 8	Loss: 2.098180	Accuracy: 0.360 	 Current Training Data Per Class: 5
Runner Episode: 9	Loss: 2.418473	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 10	Loss: 2.442301	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 11	Loss: 2.081828	Accuracy: 0.190 	 Current Training Data Per Class: 5
Runner Episode: 12	Loss: 1.874989	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 13	Loss: 2.151971	Accuracy: 0.230 	 Current Training Data Per Class: 5
Runner Episode: 14	Loss: 2.406983	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 15	Loss: 2.396892	Accuracy: 0.220 	 Current Training Data Per Class: 5
Runner Episode: 16	Loss: 2.030614	Accuracy: 0.210 	 Current Training Data Per Class: 5
Runner Episode: 17	Loss: 2.368080	Accuracy: 0.220 	 Current Training Data Per Class: 5
Runner Episode: 18	Loss: 1.523515	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 19	Loss: 1.842420	Accuracy: 0.210 	 Current Training Data Per Class: 5
Runner Episode: 20	Loss: 2.697869	Accuracy: 0.200 	 Current Training Data Per Class: 5
