Train Episode: 107	Loss: 1.344725	Accuracy: 0.460
Train Episode: 108	Loss: 0.748985	Accuracy: 0.780
Train Episode: 109	Loss: 0.864290	Accuracy: 0.580
Train Episode: 110	Loss: 1.584758	Accuracy: 0.440
Train Episode: 111	Loss: 2.729352	Accuracy: 0.300
Train Episode: 112	Loss: 1.230066	Accuracy: 0.700
Train Episode: 113	Loss: 1.030553	Accuracy: 0.640
Train Episode: 114	Loss: 2.190326	Accuracy: 0.400
Train Episode: 115	Loss: 0.856417	Accuracy: 0.580
Train Episode: 116	Loss: 0.916153	Accuracy: 0.580
Train Episode: 117	Loss: 0.447089	Accuracy: 0.840
Train Episode: 118	Loss: 0.507642	Accuracy: 0.840
Train Episode: 119	Loss: 2.724496	Accuracy: 0.660
Train Episode: 120	Loss: 1.590780	Accuracy: 0.520
Train Episode: 121	Loss: 0.680982	Accuracy: 0.740
Train Episode: 122	Loss: 0.865734	Accuracy: 0.740
Train Episode: 123	Loss: 0.919550	Accuracy: 0.700
Train Episode: 124	Loss: 1.790534	Accuracy: 0.580
Train Episode: 125	Loss: 0.943019	Accuracy: 0.660
Train Episode: 126	Loss: 1.099142	Accuracy: 0.660
Train Episode: 127	Loss: 7.405212	Accuracy: 0.380
Train Episode: 128	Loss: 1.935421	Accuracy: 0.440
Train Episode: 129	Loss: 2.518638	Accuracy: 0.460
Train Episode: 130	Loss: 2.604363	Accuracy: 0.420
Train Episode: 131	Loss: 0.948090	Accuracy: 0.780
Train Episode: 132	Loss: 0.781667	Accuracy: 0.740
Train Episode: 133	Loss: 0.294342	Accuracy: 0.920
Train Episode: 134	Loss: 2.172788	Accuracy: 0.580
Train Episode: 135	Loss: 5.878549	Accuracy: 0.400
Train Episode: 136	Loss: 0.982598	Accuracy: 0.700
Train Episode: 137	Loss: 0.468969	Accuracy: 0.840
Train Episode: 138	Loss: 3.283702	Accuracy: 0.320
Train Episode: 139	Loss: 0.752207	Accuracy: 0.720
Train Episode: 140	Loss: 0.783150	Accuracy: 0.740
Train Episode: 141	Loss: 1.550699	Accuracy: 0.480
Train Episode: 142	Loss: 1.291132	Accuracy: 0.540
Train Episode: 143	Loss: 0.891645	Accuracy: 0.720
Train Episode: 144	Loss: 1.351240	Accuracy: 0.460
Train Episode: 145	Loss: 4.207179	Accuracy: 0.200
Train Episode: 146	Loss: 1.117396	Accuracy: 0.580
Train Episode: 147	Loss: 1.410657	Accuracy: 0.400
Train Episode: 148	Loss: 1.127393	Accuracy: 0.600
Train Episode: 149	Loss: 1.522512	Accuracy: 0.360
Train Episode: 150	Loss: 3.199992	Accuracy: 0.200
Train Episode: 151	Loss: 2.928952	Accuracy: 0.200
Train Episode: 152	Loss: 1.896072	Accuracy: 0.300
Train Episode: 153	Loss: 2.625784	Accuracy: 0.200
Train Episode: 154	Loss: 2.296577	Accuracy: 0.220
Train Episode: 155	Loss: 1.667060	Accuracy: 0.540
Train Episode: 156	Loss: 1.434164	Accuracy: 0.460
Train Episode: 157	Loss: 1.402622	Accuracy: 0.460
Train Episode: 158	Loss: 1.722664	Accuracy: 0.340
Train Episode: 159	Loss: 1.640435	Accuracy: 0.380
Train Episode: 160	Loss: 2.006719	Accuracy: 0.340
Train Episode: 161	Loss: 1.578928	Accuracy: 0.320
Train Episode: 162	Loss: 1.928811	Accuracy: 0.200
Train Episode: 163	Loss: 1.272699	Accuracy: 0.540
Train Episode: 164	Loss: 1.488407	Accuracy: 0.380
Train Episode: 165	Loss: 2.106206	Accuracy: 0.340
Train Episode: 166	Loss: 2.089867	Accuracy: 0.200
Train Episode: 167	Loss: 1.710946	Accuracy: 0.340
Train Episode: 168	Loss: 1.722241	Accuracy: 0.320
Train Episode: 169	Loss: 1.629300	Accuracy: 0.380
Train Episode: 170	Loss: 2.094823	Accuracy: 0.260
Train Episode: 171	Loss: 1.908618	Accuracy: 0.340
Train Episode: 172	Loss: 1.830264	Accuracy: 0.340
Train Episode: 173	Loss: 2.304210	Accuracy: 0.220
Train Episode: 174	Loss: 2.316150	Accuracy: 0.200
Train Episode: 175	Loss: 1.773359	Accuracy: 0.300
Train Episode: 176	Loss: 1.883035	Accuracy: 0.300
Train Episode: 177	Loss: 1.686329	Accuracy: 0.280
Train Episode: 178	Loss: 1.489875	Accuracy: 0.400
Train Episode: 179	Loss: 1.487635	Accuracy: 0.460
Train Episode: 180	Loss: 1.467192	Accuracy: 0.560
Train Episode: 181	Loss: 3.916730	Accuracy: 0.200
Train Episode: 182	Loss: 1.460999	Accuracy: 0.460
Train Episode: 183	Loss: 1.682153	Accuracy: 0.340
Train Episode: 184	Loss: 2.191137	Accuracy: 0.340
Train Episode: 185	Loss: 1.205107	Accuracy: 0.560
Train Episode: 186	Loss: 2.970655	Accuracy: 0.200
Train Episode: 187	Loss: 2.421888	Accuracy: 0.200
Train Episode: 188	Loss: 2.020413	Accuracy: 0.200
Train Episode: 189	Loss: 1.784595	Accuracy: 0.360
Train Episode: 190	Loss: 1.496688	Accuracy: 0.240
Train Episode: 191	Loss: 1.452119	Accuracy: 0.460
Train Episode: 192	Loss: 1.515524	Accuracy: 0.460
Train Episode: 193	Loss: 1.843847	Accuracy: 0.320
Train Episode: 194	Loss: 1.439953	Accuracy: 0.540
Train Episode: 195	Loss: 1.194405	Accuracy: 0.660
Train Episode: 196	Loss: 1.499871	Accuracy: 0.380
Train Episode: 197	Loss: 1.941374	Accuracy: 0.220
Train Episode: 198	Loss: 1.673639	Accuracy: 0.380
Train Episode: 199	Loss: 1.714572	Accuracy: 0.440
Train Episode: 200	Loss: 1.210400	Accuracy: 0.480
