Train Episode: 1	Loss: 1.395183	Accuracy: 0.370	 Current training data: 100
Train Episode: 2	Loss: 1.615830	Accuracy: 0.295	 Current training data: 100
Train Episode: 3	Loss: 1.488958	Accuracy: 0.360	 Current training data: 100
Train Episode: 4	Loss: 1.510647	Accuracy: 0.350	 Current training data: 100
Train Episode: 5	Loss: 1.441533	Accuracy: 0.420	 Current training data: 100
Train Episode: 6	Loss: 1.350306	Accuracy: 0.335	 Current training data: 100
Train Episode: 7	Loss: 1.604592	Accuracy: 0.285	 Current training data: 100
Train Episode: 8	Loss: 1.616291	Accuracy: 0.325	 Current training data: 100
Train Episode: 9	Loss: 1.378210	Accuracy: 0.375	 Current training data: 100
Train Episode: 10	Loss: 1.417346	Accuracy: 0.350	 Current training data: 100
Train Episode: 11	Loss: 1.491992	Accuracy: 0.405	 Current training data: 100
Train Episode: 12	Loss: 1.419800	Accuracy: 0.455	 Current training data: 100
Train Episode: 13	Loss: 1.460796	Accuracy: 0.375	 Current training data: 100
Train Episode: 14	Loss: 1.690925	Accuracy: 0.355	 Current training data: 100
Train Episode: 15	Loss: 1.589050	Accuracy: 0.335	 Current training data: 100
Train Episode: 16	Loss: 1.415414	Accuracy: 0.310	 Current training data: 100
Train Episode: 17	Loss: 1.667531	Accuracy: 0.260	 Current training data: 100
Train Episode: 18	Loss: 1.497573	Accuracy: 0.305	 Current training data: 100
Train Episode: 19	Loss: 1.434090	Accuracy: 0.315	 Current training data: 100
Train Episode: 20	Loss: 1.709682	Accuracy: 0.215	 Current training data: 100
