Runner Episode: 1	Loss: 2.318671	Accuracy: 0.215 	 Current Training Data Per Class: 10
Runner Episode: 2	Loss: 2.266009	Accuracy: 0.185 	 Current Training Data Per Class: 10
Runner Episode: 3	Loss: 2.578893	Accuracy: 0.125 	 Current Training Data Per Class: 10
Runner Episode: 4	Loss: 2.288659	Accuracy: 0.195 	 Current Training Data Per Class: 10
Runner Episode: 5	Loss: 2.138147	Accuracy: 0.175 	 Current Training Data Per Class: 10
Runner Episode: 6	Loss: 2.431531	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 7	Loss: 2.266067	Accuracy: 0.165 	 Current Training Data Per Class: 10
Runner Episode: 8	Loss: 2.744915	Accuracy: 0.195 	 Current Training Data Per Class: 10
Runner Episode: 9	Loss: 2.580265	Accuracy: 0.100 	 Current Training Data Per Class: 10
Runner Episode: 10	Loss: 2.256946	Accuracy: 0.220 	 Current Training Data Per Class: 10
Runner Episode: 11	Loss: 2.218751	Accuracy: 0.160 	 Current Training Data Per Class: 10
Runner Episode: 12	Loss: 2.681680	Accuracy: 0.210 	 Current Training Data Per Class: 10
Runner Episode: 13	Loss: 2.411025	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 14	Loss: 2.309672	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 15	Loss: 2.621266	Accuracy: 0.170 	 Current Training Data Per Class: 10
Runner Episode: 16	Loss: 2.634001	Accuracy: 0.100 	 Current Training Data Per Class: 10
Runner Episode: 17	Loss: 2.501915	Accuracy: 0.150 	 Current Training Data Per Class: 10
Runner Episode: 18	Loss: 2.374652	Accuracy: 0.210 	 Current Training Data Per Class: 10
Runner Episode: 19	Loss: 2.318561	Accuracy: 0.170 	 Current Training Data Per Class: 10
Runner Episode: 20	Loss: 2.539471	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 21	Loss: 2.650041	Accuracy: 0.125 	 Current Training Data Per Class: 10
Runner Episode: 22	Loss: 2.236795	Accuracy: 0.190 	 Current Training Data Per Class: 10
Runner Episode: 23	Loss: 2.458839	Accuracy: 0.135 	 Current Training Data Per Class: 10
Runner Episode: 24	Loss: 2.360695	Accuracy: 0.150 	 Current Training Data Per Class: 10
Runner Episode: 25	Loss: 2.605016	Accuracy: 0.280 	 Current Training Data Per Class: 10
Runner Episode: 26	Loss: 2.454321	Accuracy: 0.240 	 Current Training Data Per Class: 10
Runner Episode: 27	Loss: 2.344205	Accuracy: 0.250 	 Current Training Data Per Class: 10
Runner Episode: 28	Loss: 2.555791	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 29	Loss: 2.399842	Accuracy: 0.215 	 Current Training Data Per Class: 10
Runner Episode: 30	Loss: 2.423054	Accuracy: 0.055 	 Current Training Data Per Class: 10
Runner Episode: 31	Loss: 2.668042	Accuracy: 0.170 	 Current Training Data Per Class: 10
Runner Episode: 32	Loss: 2.455353	Accuracy: 0.160 	 Current Training Data Per Class: 10
Runner Episode: 33	Loss: 2.369997	Accuracy: 0.195 	 Current Training Data Per Class: 10
Runner Episode: 34	Loss: 2.230515	Accuracy: 0.170 	 Current Training Data Per Class: 10
Runner Episode: 35	Loss: 2.501903	Accuracy: 0.190 	 Current Training Data Per Class: 10
Runner Episode: 36	Loss: 2.747768	Accuracy: 0.175 	 Current Training Data Per Class: 10
Runner Episode: 37	Loss: 2.533220	Accuracy: 0.200 	 Current Training Data Per Class: 10
Runner Episode: 38	Loss: 2.572050	Accuracy: 0.195 	 Current Training Data Per Class: 10
Runner Episode: 39	Loss: 2.363690	Accuracy: 0.265 	 Current Training Data Per Class: 10
Runner Episode: 40	Loss: 2.520519	Accuracy: 0.190 	 Current Training Data Per Class: 10
Runner Episode: 41	Loss: 2.439086	Accuracy: 0.180 	 Current Training Data Per Class: 10
Runner Episode: 42	Loss: 2.587895	Accuracy: 0.135 	 Current Training Data Per Class: 10
Runner Episode: 43	Loss: 2.272197	Accuracy: 0.275 	 Current Training Data Per Class: 10
Runner Episode: 44	Loss: 2.768443	Accuracy: 0.115 	 Current Training Data Per Class: 10
Runner Episode: 45	Loss: 2.332484	Accuracy: 0.105 	 Current Training Data Per Class: 10
Runner Episode: 46	Loss: 2.335426	Accuracy: 0.100 	 Current Training Data Per Class: 10
Runner Episode: 47	Loss: 2.212481	Accuracy: 0.265 	 Current Training Data Per Class: 10
Runner Episode: 48	Loss: 2.454067	Accuracy: 0.180 	 Current Training Data Per Class: 10
Runner Episode: 49	Loss: 2.437954	Accuracy: 0.125 	 Current Training Data Per Class: 10
Runner Episode: 50	Loss: 2.312431	Accuracy: 0.175 	 Current Training Data Per Class: 10
