Train Episode: 1	Loss: 1.002108	Accuracy: 0.730	 Current training data: 140
Train Episode: 2	Loss: 0.832413	Accuracy: 0.700	 Current training data: 140
Train Episode: 3	Loss: 0.879406	Accuracy: 0.580	 Current training data: 140
Train Episode: 4	Loss: 0.320230	Accuracy: 0.920	 Current training data: 140
Train Episode: 5	Loss: 1.150774	Accuracy: 0.440	 Current training data: 140
Train Episode: 6	Loss: 1.114318	Accuracy: 0.580	 Current training data: 140
Train Episode: 7	Loss: 1.347818	Accuracy: 0.400	 Current training data: 140
Train Episode: 8	Loss: 1.225089	Accuracy: 0.470	 Current training data: 140
Train Episode: 9	Loss: 0.946580	Accuracy: 0.610	 Current training data: 140
Train Episode: 10	Loss: 0.579114	Accuracy: 0.700	 Current training data: 140
Train Episode: 11	Loss: 1.029358	Accuracy: 0.690	 Current training data: 140
Train Episode: 12	Loss: 1.131957	Accuracy: 0.450	 Current training data: 140
Train Episode: 13	Loss: 1.061208	Accuracy: 0.610	 Current training data: 140
Train Episode: 14	Loss: 1.035977	Accuracy: 0.520	 Current training data: 140
Train Episode: 15	Loss: 1.034125	Accuracy: 0.580	 Current training data: 140
Train Episode: 16	Loss: 1.047272	Accuracy: 0.580	 Current training data: 140
Train Episode: 17	Loss: 1.469989	Accuracy: 0.410	 Current training data: 140
Train Episode: 18	Loss: 0.848021	Accuracy: 0.580	 Current training data: 140
Train Episode: 19	Loss: 1.213124	Accuracy: 0.450	 Current training data: 140
Train Episode: 20	Loss: 1.064536	Accuracy: 0.630	 Current training data: 140
