Episode: 1: [[0.33333334 0.33333334 0.33333334]] 
Episode: 2: [[0.33343333 0.33323336 0.33343333]] 
Episode: 3: [[0.3333589  0.33315894 0.33350775]] 
Episode: 4: [[0.3333589  0.33315894 0.33350775]] 
Episode: 5: [[0.3333589  0.33315894 0.33350775]] 
Episode: 6: [[0.3333589  0.33315894 0.33350775]] 
Episode: 7: [[0.3333589  0.33315894 0.33350775]] 
Episode: 8: [[0.3333589  0.33315894 0.33350775]] 
Episode: 9: [[0.3333589  0.33315894 0.33350775]] 
Episode: 10: [[0.3333589  0.33315894 0.33350775]] 
Episode: 11: [[0.3333589  0.33315894 0.33350775]] 
Episode: 12: [[0.3333589  0.33315894 0.33350775]] 
Episode: 13: [[0.3333589  0.33315894 0.33350775]] 
Episode: 14: [[nan nan nan]] 
