Train Episode: 1	Loss: 0.194154	Accuracy: 0.950	 Current training data: 150
Train Episode: 2	Loss: 0.574536	Accuracy: 0.740	 Current training data: 150
Train Episode: 3	Loss: 0.422686	Accuracy: 0.890	 Current training data: 150
Train Episode: 4	Loss: 0.470548	Accuracy: 0.850	 Current training data: 150
Train Episode: 5	Loss: 0.375087	Accuracy: 0.920	 Current training data: 150
Train Episode: 6	Loss: 0.291602	Accuracy: 0.910	 Current training data: 150
Train Episode: 7	Loss: 0.341451	Accuracy: 0.890	 Current training data: 150
Train Episode: 8	Loss: 0.483125	Accuracy: 0.850	 Current training data: 150
Train Episode: 9	Loss: 0.426525	Accuracy: 0.860	 Current training data: 150
Train Episode: 10	Loss: 0.518606	Accuracy: 0.820	 Current training data: 150
Train Episode: 11	Loss: 0.488396	Accuracy: 0.830	 Current training data: 150
Train Episode: 12	Loss: 0.441961	Accuracy: 0.860	 Current training data: 150
Train Episode: 13	Loss: 0.368358	Accuracy: 0.770	 Current training data: 150
Train Episode: 14	Loss: 0.361150	Accuracy: 0.900	 Current training data: 150
Train Episode: 15	Loss: 0.271778	Accuracy: 0.920	 Current training data: 150
Train Episode: 16	Loss: 0.324680	Accuracy: 0.890	 Current training data: 150
Train Episode: 17	Loss: 0.260489	Accuracy: 0.900	 Current training data: 150
Train Episode: 18	Loss: 0.676650	Accuracy: 0.810	 Current training data: 150
Train Episode: 19	Loss: 0.430275	Accuracy: 0.840	 Current training data: 150
Train Episode: 20	Loss: 0.340067	Accuracy: 0.940	 Current training data: 150
Train Episode: 21	Loss: 0.405431	Accuracy: 0.870	 Current training data: 150
Train Episode: 22	Loss: 0.234056	Accuracy: 0.920	 Current training data: 150
Train Episode: 23	Loss: 0.321041	Accuracy: 0.900	 Current training data: 150
Train Episode: 24	Loss: 0.699879	Accuracy: 0.720	 Current training data: 150
Train Episode: 25	Loss: 0.665760	Accuracy: 0.730	 Current training data: 150
Train Episode: 26	Loss: 0.445524	Accuracy: 0.860	 Current training data: 150
Train Episode: 27	Loss: 0.355583	Accuracy: 0.880	 Current training data: 150
Train Episode: 28	Loss: 0.388366	Accuracy: 0.890	 Current training data: 150
Train Episode: 29	Loss: 0.329734	Accuracy: 0.900	 Current training data: 150
Train Episode: 30	Loss: 0.723987	Accuracy: 0.750	 Current training data: 150
Train Episode: 31	Loss: 0.332998	Accuracy: 0.880	 Current training data: 150
Train Episode: 32	Loss: 0.515241	Accuracy: 0.810	 Current training data: 150
Train Episode: 33	Loss: 0.391418	Accuracy: 0.870	 Current training data: 150
Train Episode: 34	Loss: 0.275768	Accuracy: 0.860	 Current training data: 150
Train Episode: 35	Loss: 0.257797	Accuracy: 0.900	 Current training data: 150
Train Episode: 36	Loss: 0.384357	Accuracy: 0.840	 Current training data: 150
Train Episode: 37	Loss: 0.140585	Accuracy: 0.920	 Current training data: 150
Train Episode: 38	Loss: 0.519453	Accuracy: 0.790	 Current training data: 150
Train Episode: 39	Loss: 0.434783	Accuracy: 0.850	 Current training data: 150
Train Episode: 40	Loss: 0.349113	Accuracy: 0.860	 Current training data: 150
Train Episode: 41	Loss: 0.419887	Accuracy: 0.890	 Current training data: 150
Train Episode: 42	Loss: 0.472959	Accuracy: 0.850	 Current training data: 150
Train Episode: 43	Loss: 0.033211	Accuracy: 0.990	 Current training data: 150
Train Episode: 44	Loss: 0.415467	Accuracy: 0.890	 Current training data: 150
Train Episode: 45	Loss: 0.491560	Accuracy: 0.770	 Current training data: 150
Train Episode: 46	Loss: 0.226647	Accuracy: 0.930	 Current training data: 150
Train Episode: 47	Loss: 0.751945	Accuracy: 0.760	 Current training data: 150
Train Episode: 48	Loss: 0.299739	Accuracy: 0.900	 Current training data: 150
Train Episode: 49	Loss: 0.300353	Accuracy: 0.890	 Current training data: 150
Train Episode: 50	Loss: 0.364260	Accuracy: 0.870	 Current training data: 150
