Train Episode: 1	Loss: 0.303139	Accuracy: 0.970	 Current training data: 225
Train Episode: 2	Loss: 0.620886	Accuracy: 0.770	 Current training data: 225
Train Episode: 3	Loss: 0.615830	Accuracy: 0.800	 Current training data: 225
Train Episode: 4	Loss: 0.387022	Accuracy: 0.860	 Current training data: 225
Train Episode: 5	Loss: 0.337799	Accuracy: 0.880	 Current training data: 225
Train Episode: 6	Loss: 0.213926	Accuracy: 0.950	 Current training data: 225
Train Episode: 7	Loss: 0.604668	Accuracy: 0.860	 Current training data: 225
Train Episode: 8	Loss: 0.295685	Accuracy: 0.920	 Current training data: 225
Train Episode: 9	Loss: 0.179643	Accuracy: 0.940	 Current training data: 225
Train Episode: 10	Loss: 0.334976	Accuracy: 0.890	 Current training data: 225
Train Episode: 11	Loss: 0.462462	Accuracy: 0.860	 Current training data: 225
Train Episode: 12	Loss: 0.224572	Accuracy: 0.920	 Current training data: 225
Train Episode: 13	Loss: 0.443237	Accuracy: 0.760	 Current training data: 225
Train Episode: 14	Loss: 0.260048	Accuracy: 0.900	 Current training data: 225
Train Episode: 15	Loss: 0.289176	Accuracy: 0.920	 Current training data: 225
Train Episode: 16	Loss: 0.735459	Accuracy: 0.750	 Current training data: 225
Train Episode: 17	Loss: 0.261321	Accuracy: 0.880	 Current training data: 225
Train Episode: 18	Loss: 0.262559	Accuracy: 0.910	 Current training data: 225
Train Episode: 19	Loss: 0.460794	Accuracy: 0.830	 Current training data: 225
Train Episode: 20	Loss: 0.272292	Accuracy: 0.860	 Current training data: 225
Train Episode: 21	Loss: 0.533555	Accuracy: 0.860	 Current training data: 225
Train Episode: 22	Loss: 0.348782	Accuracy: 0.910	 Current training data: 225
Train Episode: 23	Loss: 0.372379	Accuracy: 0.890	 Current training data: 225
Train Episode: 24	Loss: 0.557215	Accuracy: 0.740	 Current training data: 225
Train Episode: 25	Loss: 0.449359	Accuracy: 0.840	 Current training data: 225
Train Episode: 26	Loss: 0.417496	Accuracy: 0.840	 Current training data: 225
Train Episode: 27	Loss: 0.228980	Accuracy: 0.930	 Current training data: 225
Train Episode: 28	Loss: 0.360021	Accuracy: 0.890	 Current training data: 225
Train Episode: 29	Loss: 0.308336	Accuracy: 0.870	 Current training data: 225
Train Episode: 30	Loss: 0.383074	Accuracy: 0.890	 Current training data: 225
Train Episode: 31	Loss: 0.468335	Accuracy: 0.840	 Current training data: 225
Train Episode: 32	Loss: 0.321177	Accuracy: 0.880	 Current training data: 225
Train Episode: 33	Loss: 0.185194	Accuracy: 0.930	 Current training data: 225
Train Episode: 34	Loss: 0.211994	Accuracy: 0.940	 Current training data: 225
Train Episode: 35	Loss: 0.276117	Accuracy: 0.910	 Current training data: 225
Train Episode: 36	Loss: 0.562819	Accuracy: 0.810	 Current training data: 225
Train Episode: 37	Loss: 0.244467	Accuracy: 0.910	 Current training data: 225
Train Episode: 38	Loss: 0.274335	Accuracy: 0.940	 Current training data: 225
Train Episode: 39	Loss: 0.314848	Accuracy: 0.910	 Current training data: 225
Train Episode: 40	Loss: 0.256595	Accuracy: 0.920	 Current training data: 225
Train Episode: 41	Loss: 0.259228	Accuracy: 0.940	 Current training data: 225
Train Episode: 42	Loss: 0.470642	Accuracy: 0.830	 Current training data: 225
Train Episode: 43	Loss: 0.106932	Accuracy: 0.990	 Current training data: 225
Train Episode: 44	Loss: 0.582193	Accuracy: 0.810	 Current training data: 225
Train Episode: 45	Loss: 0.542815	Accuracy: 0.770	 Current training data: 225
Train Episode: 46	Loss: 0.255638	Accuracy: 0.950	 Current training data: 225
Train Episode: 47	Loss: 0.394942	Accuracy: 0.880	 Current training data: 225
Train Episode: 48	Loss: 0.731751	Accuracy: 0.730	 Current training data: 225
Train Episode: 49	Loss: 0.272387	Accuracy: 0.930	 Current training data: 225
Train Episode: 50	Loss: 0.446844	Accuracy: 0.920	 Current training data: 225
