Train Episode: 1	Loss: 0.370046	Accuracy: 0.890	 Current training data: 350
Train Episode: 2	Loss: 0.683870	Accuracy: 0.730	 Current training data: 350
Train Episode: 3	Loss: 0.531756	Accuracy: 0.740	 Current training data: 350
Train Episode: 4	Loss: 0.388296	Accuracy: 0.800	 Current training data: 350
Train Episode: 5	Loss: 1.625441	Accuracy: 0.660	 Current training data: 350
Train Episode: 6	Loss: 1.003849	Accuracy: 0.600	 Current training data: 350
Train Episode: 7	Loss: 0.865638	Accuracy: 0.840	 Current training data: 350
Train Episode: 8	Loss: 1.813590	Accuracy: 0.530	 Current training data: 350
Train Episode: 9	Loss: 1.038013	Accuracy: 0.600	 Current training data: 350
Train Episode: 10	Loss: 0.439093	Accuracy: 0.760	 Current training data: 350
Train Episode: 11	Loss: 0.269122	Accuracy: 0.920	 Current training data: 350
Train Episode: 12	Loss: 0.834275	Accuracy: 0.510	 Current training data: 350
Train Episode: 13	Loss: 0.854382	Accuracy: 0.700	 Current training data: 350
Train Episode: 14	Loss: 0.879594	Accuracy: 0.710	 Current training data: 350
Train Episode: 15	Loss: 0.913283	Accuracy: 0.650	 Current training data: 350
Train Episode: 16	Loss: 1.100814	Accuracy: 0.760	 Current training data: 350
Train Episode: 17	Loss: 0.808055	Accuracy: 0.600	 Current training data: 350
Train Episode: 18	Loss: 0.548684	Accuracy: 0.880	 Current training data: 350
Train Episode: 19	Loss: 0.846671	Accuracy: 0.620	 Current training data: 350
Train Episode: 20	Loss: 0.496198	Accuracy: 0.760	 Current training data: 350
