Episode: 75, v_learner_vector: tensor([[-0.0043,  0.0259]], device='cuda:0') 
Episode: 76, v_learner_vector: tensor([[-0.0043,  0.0260]], device='cuda:0') 
Episode: 77, v_learner_vector: tensor([[-0.0044,  0.0261]], device='cuda:0') 
Episode: 78, v_learner_vector: tensor([[-0.0044,  0.0263]], device='cuda:0') 
Episode: 79, v_learner_vector: tensor([[-0.0045,  0.0264]], device='cuda:0') 
Episode: 80, v_learner_vector: tensor([[-0.0046,  0.0265]], device='cuda:0') 
Episode: 81, v_learner_vector: tensor([[-0.0046,  0.0265]], device='cuda:0') 
Episode: 82, v_learner_vector: tensor([[-0.0047,  0.0266]], device='cuda:0') 
Episode: 83, v_learner_vector: tensor([[-0.0048,  0.0267]], device='cuda:0') 
Episode: 84, v_learner_vector: tensor([[-0.0050,  0.0269]], device='cuda:0') 
Episode: 85, v_learner_vector: tensor([[-0.0051,  0.0271]], device='cuda:0') 
Episode: 86, v_learner_vector: tensor([[-0.0053,  0.0273]], device='cuda:0') 
Episode: 87, v_learner_vector: tensor([[-0.0054,  0.0274]], device='cuda:0') 
Episode: 88, v_learner_vector: tensor([[-0.0056,  0.0276]], device='cuda:0') 
Episode: 89, v_learner_vector: tensor([[-0.0058,  0.0278]], device='cuda:0') 
Episode: 90, v_learner_vector: tensor([[-0.0059,  0.0280]], device='cuda:0') 
Episode: 91, v_learner_vector: tensor([[-0.0061,  0.0281]], device='cuda:0') 
Episode: 92, v_learner_vector: tensor([[-0.0063,  0.0283]], device='cuda:0') 
Episode: 93, v_learner_vector: tensor([[-0.0065,  0.0284]], device='cuda:0') 
Episode: 94, v_learner_vector: tensor([[-0.0066,  0.0286]], device='cuda:0') 
Episode: 95, v_learner_vector: tensor([[-0.0068,  0.0287]], device='cuda:0') 
Episode: 96, v_learner_vector: tensor([[-0.0070,  0.0289]], device='cuda:0') 
Episode: 97, v_learner_vector: tensor([[-0.0074,  0.0290]], device='cuda:0') 
Episode: 98, v_learner_vector: tensor([[-0.0078,  0.0292]], device='cuda:0') 
Episode: 99, v_learner_vector: tensor([[-0.0081,  0.0293]], device='cuda:0') 
Episode: 100, v_learner_vector: tensor([[-0.0085,  0.0294]], device='cuda:0') 
Episode: 101, v_learner_vector: tensor([[-0.0090,  0.0292]], device='cuda:0') 
Episode: 102, v_learner_vector: tensor([[-0.0094,  0.0290]], device='cuda:0') 
Episode: 103, v_learner_vector: tensor([[-0.0098,  0.0289]], device='cuda:0') 
Episode: 104, v_learner_vector: tensor([[-0.0102,  0.0287]], device='cuda:0') 
Episode: 105, v_learner_vector: tensor([[-0.0107,  0.0289]], device='cuda:0') 
Episode: 106, v_learner_vector: tensor([[-0.0112,  0.0290]], device='cuda:0') 
Episode: 107, v_learner_vector: tensor([[-0.0116,  0.0291]], device='cuda:0') 
Episode: 108, v_learner_vector: tensor([[-0.0122,  0.0290]], device='cuda:0') 
Episode: 109, v_learner_vector: tensor([[-0.0118,  0.0285]], device='cuda:0') 
Episode: 110, v_learner_vector: tensor([[-0.0115,  0.0282]], device='cuda:0') 
Episode: 111, v_learner_vector: tensor([[-0.0112,  0.0278]], device='cuda:0') 
Episode: 112, v_learner_vector: tensor([[-0.0109,  0.0275]], device='cuda:0') 
Episode: 113, v_learner_vector: tensor([[-0.0106,  0.0273]], device='cuda:0') 
Episode: 114, v_learner_vector: tensor([[-0.0104,  0.0270]], device='cuda:0') 
