Train Episode: 1	Loss: 0.681990	Accuracy: 0.750	 Current training data: 700
Train Episode: 2	Loss: 0.907279	Accuracy: 0.710	 Current training data: 700
Train Episode: 3	Loss: 0.696467	Accuracy: 0.745	 Current training data: 700
Train Episode: 4	Loss: 0.709634	Accuracy: 0.715	 Current training data: 700
Train Episode: 5	Loss: 0.640532	Accuracy: 0.745	 Current training data: 700
Train Episode: 6	Loss: 0.703348	Accuracy: 0.770	 Current training data: 700
Train Episode: 7	Loss: 0.927448	Accuracy: 0.665	 Current training data: 700
Train Episode: 8	Loss: 0.847046	Accuracy: 0.745	 Current training data: 700
Train Episode: 9	Loss: 0.624176	Accuracy: 0.765	 Current training data: 700
Train Episode: 10	Loss: 0.572930	Accuracy: 0.780	 Current training data: 700
Train Episode: 11	Loss: 0.804723	Accuracy: 0.665	 Current training data: 700
Train Episode: 12	Loss: 0.648587	Accuracy: 0.755	 Current training data: 700
Train Episode: 13	Loss: 0.816731	Accuracy: 0.730	 Current training data: 700
Train Episode: 14	Loss: 0.656309	Accuracy: 0.770	 Current training data: 700
Train Episode: 15	Loss: 0.610333	Accuracy: 0.775	 Current training data: 700
Train Episode: 16	Loss: 0.725815	Accuracy: 0.735	 Current training data: 700
Train Episode: 17	Loss: 0.581837	Accuracy: 0.760	 Current training data: 700
Train Episode: 18	Loss: 0.681106	Accuracy: 0.745	 Current training data: 700
Train Episode: 19	Loss: 0.576690	Accuracy: 0.785	 Current training data: 700
Train Episode: 20	Loss: 0.592386	Accuracy: 0.775	 Current training data: 700
