Runner Episode: 1	Loss: 3.925643	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 2	Loss: 3.830303	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 3	Loss: 3.718475	Accuracy: 0.060 	 Current Training Data Per Class: 0
Runner Episode: 4	Loss: 3.820240	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 5	Loss: 3.798551	Accuracy: 0.040 	 Current Training Data Per Class: 0
Runner Episode: 6	Loss: 3.835115	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 7	Loss: 3.893471	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 8	Loss: 3.734262	Accuracy: 0.060 	 Current Training Data Per Class: 0
Runner Episode: 9	Loss: 3.797590	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 10	Loss: 3.746678	Accuracy: 0.160 	 Current Training Data Per Class: 0
Runner Episode: 11	Loss: 3.833500	Accuracy: 0.110 	 Current Training Data Per Class: 0
Runner Episode: 12	Loss: 3.805674	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 13	Loss: 3.862120	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 14	Loss: 3.859248	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 15	Loss: 3.934350	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 16	Loss: 3.826495	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 17	Loss: 3.782251	Accuracy: 0.110 	 Current Training Data Per Class: 0
Runner Episode: 18	Loss: 3.779994	Accuracy: 0.040 	 Current Training Data Per Class: 0
Runner Episode: 19	Loss: 3.855001	Accuracy: 0.030 	 Current Training Data Per Class: 0
Runner Episode: 20	Loss: 3.818254	Accuracy: 0.000 	 Current Training Data Per Class: 0
